Title,Zeabus Hydrophone
Revision,1.0.0
Date,22 August 2017
Generated,2/1/2018 1:08:01 PM
Company,Zeabus, Kasetsart University
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,357
Total Unique Parts,66



Ref,Qty,Value,Footprint,Datasheet,
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C45 C46 C47 C48 C53 C55 ,46,0.01uF,Capacitors_SMD:C_0603_HandSoldering,
C28 C29 C61 C146 ,4,10uF,Capacitors_SMD:C_0603_HandSoldering,
C43 C44 ,2,10uF,Capacitors_SMD:C_0805_HandSoldering,
C49 C50 C51 C52 C54 C56 C148 C149 ,8,1uF,Capacitors_SMD:C_0603_HandSoldering,
C57 C58 C60 C64 C65 C70 C76 C77 C82 C88 C89 C94 C100 C101 C106 C114 C117 C120 C123 C124 C125 C126 C127 C128 C129 C130 C131 C132 C133 C134 C135 C136 C137 C138 C139 C140 C141 C142 C143 C150 C151 C152 C153 ,43,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
C59 ,1,47uF,Capacitors_SMD:C_0805_HandSoldering,
C62 ,1,390pF,Capacitors_SMD:C_0603_HandSoldering,
C63 ,1,5600pF,Capacitors_SMD:C_0603_HandSoldering,
C66 C69 C71 C74 C78 C81 C83 C86 C90 C93 C95 C98 C102 C105 C107 C110 ,16,22uF,Capacitors_SMD:C_0805_HandSoldering,
C67 C72 C79 C84 C91 C96 C103 C108 ,8,300pF,Capacitors_SMD:C_0603_HandSoldering,
C68 C73 C80 C85 C92 C97 C104 C109 C144 C145 ,10,1000pF,Capacitors_SMD:C_0603_HandSoldering,
C75 C87 C99 C111 ,4,100pF,Capacitors_SMD:C_0603_HandSoldering,
C112 C115 C118 C121 ,4,22pF,Capacitors_SMD:C_0603_HandSoldering,
C113 C116 C119 C122 ,4,18000pF,Capacitors_SMD:C_0603_HandSoldering,
C147 ,1,100nF,Capacitors_SMD:C_0603_HandSoldering,
C154 C156 C157 C158 ,4,0.1uF,,
C155 ,1,0.1uf,,
CN1 ,1,EPS.00.250.NTN,zeabus:EPS-00-250,
CN2 CN3 CN4 ,3,EPS.00.250.NTN,Zeabus:EPS-00-250,
D1 D2 D6 ,3,Yellow,LEDs:LED_0603,
D3 D8 ,2,Red,LEDs:LED_0603,
D4 D7 ,2,Blue,LEDs:LED_0603,
D5 D9 ,2,Green,LEDs:LED_0603,
J2 ,1,USB_OTG,Connectors:USB_Mini-B,
J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J22 ,17,TEST_1P,Zeabus:1Pin-TP,
JP1 ,1,Write Protect,Capacitors_SMD:C_0603_HandSoldering,
JP2 ,1,External Reset,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
L1 L3 L5 L7 ,4,15mH,Zeabus:L-SDR0503,
L2 L4 L6 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 ,18,120nH,Inductors_SMD:L_0603,
R1 R2 R3 R7 R8 R13 R14 R15 R16 R17 R18 R21 R23 R25 R27 R28 R36 R37 R96 R97 R98 R99 R100 ,23,10k,Resistors_SMD:R_0603,
R4 R5 ,2,33,Resistors_SMD:R_0603,
R6 ,1,47k,Resistors_SMD:R_0603,
R9 R10 R11 R12 ,4,22,Resistors_SMD:R_0603,
R19 R29 R30 R31 R32 R33 R34 R35 ,8,330,Resistors_SMD:R_0603,
R20 R22 R24 R26 R39 R44 R49 R54 R59 R64 R69 R74 R83 R84 R85 R86 R87 R88 R89 R90 ,20,100,Resistors_SMD:R_0603,
R38 ,1,560,Resistors_SMD:R_0603,
R40 R45 R50 R55 R60 R65 R70 R75 ,8,49.9k,Resistors_SMD:R_0603,
R41 R46 R51 R56 R61 R66 R71 R76 ,8,5.76k,Resistors_SMD:R_0603,
R42 R47 R52 R57 R62 R67 R72 R77 ,8,4.99k,Resistors_SMD:R_0603,
R43 R48 R53 R58 R63 R68 R73 R78 ,8,237,Resistors_SMD:R_0603,
R79 R80 R81 R82 ,4,274,Resistors_SMD:R_0603,
R91 ,1,806,Resistors_SMD:R_0603,
R92 ,1,1k,Resistors_SMD:R_0603,
R93 R94 R95 ,3,0,Resistors_SMD:R_0603,
R101 ,1,10k,,
RN1 RN2 RN3 RN4 RN5 RN6 RN7 RN8 RN9 RN10 RN11 RN12 RN13 ,13,EXBN8V-22,Zeabus:CRA06S,
SW1 ,1,SW_DIP_x02,Buttons_Switches_SMD:SW_DIP_x2_W5.08mm_Slide_Copal_CHS-A,
SW2 SW3 SW4 SW5 SW6 ,5,PB,Zeabus:Button-EVQ,
U1 ,1,ADSP-21489BSWZ-4B,Zeabus:ADSP-21489-177,
U2 ,1,FOX924B - 25MHz,Zeabus:Oscillator-TCXO,
U3 ,1,S29GL032N,Housings_SSOP:TSOP-I-48_12x18.4mm_Pitch0.5mm,
U4 U5 U12 ,3,74LVC1G08,TO_SOT_Packages_SMD:SOT-353,
U6 ,1,ADM708SARZ,Zeabus:ADM708_R_8,
U7 ,1,74LVC14,Housings_SSOP:SSOP-14_5.3x6.2mm_Pitch0.65mm,
U8 ,1,74AC11244,Housings_SSOP:TSSOP-24_4.4x7.8mm_Pitch0.65mm,
U9 ,1,NCP361SNT1G,Zeabus:TSOP-5,
U10 ,1,FT232RQ,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,
U11 ,1,AD1939WBSTZ,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,
U13 ,1,FOX924B - 12.288MHz,Zeabus:Oscillator-TCXO,
U14 U15 U16 U17 ,4,AD8652ARZ,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U18 ,1,AD8334ACPZ,Zeabus:QFN50P900X900X100-65N,
U19 ,1,MAX5387LAUD+T,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
U20 ,1,TLV73311PDBVT,TO_SOT_Packages_SMD:SOT-23-5,
U21 U23 ,2,LM1117-3.3,TO_SOT_Packages_SMD:SOT-223-3Lead_TabPin2,
U22 ,1,TLV73311PDVBT,TO_SOT_Packages_SMD:SOT-23-5,
Y1 ,1,CSTCC2M00G53-R0,Crystals:Resonator_7.2x3mm,




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated 2/1/2018 1:08:01 PM
